split_id,context,spearman_rho,p_value,n_words_union
19,fridge,0.47421085271327773,0.0034796472129394623,36
19,garage,0.09464751108739547,0.3641937956876804,94
19,handbag,0.3556211355546873,0.0036472764843933463,65
19,library,-0.31521124641649173,0.00023199223873954705,132
19,mall,-0.18572164269804672,0.032331688065886204,133
19,play,-0.14341865719585886,0.0740770304590073,156
19,restaurant,0.28713912734673686,0.03902333806240574,52
20,bakery,0.1670667806287859,0.1385520580441063,80
20,closet,-0.09943964823943073,0.33250761808130935,97
20,corner,0.012169668945479306,0.9005204711670722,108
20,fitness,0.4742481864841538,9.864204904024735e-05,62
20,fridge,0.4066165634810898,0.01385600979044383,36
20,garage,0.16208141084730723,0.11858251247525495,94
20,handbag,0.46952391991802717,7.958183262925295e-05,65
20,library,-0.3598886731140834,2.2513157957437538e-05,132
20,mall,-0.23075970327612166,0.007533397299792518,133
20,play,-0.23470061792861613,0.0031865803118682856,156
20,restaurant,0.3466807172138947,0.011809100250642824,52
21,bakery,0.17603259833613277,0.11830510314752768,80
21,closet,-0.07677676137789655,0.45478290164835045,97
21,corner,0.013851280780002792,0.8868599836819435,108
21,fitness,0.4026991393292232,0.0011749242123334448,62
21,fridge,0.4641262235595802,0.004352945335565165,36
21,garage,0.13480151673218352,0.19518790249696077,94
21,handbag,0.2749713066712471,0.026636979745008612,65
21,library,-0.394548182247041,2.851420621696132e-06,132
21,mall,-0.13141901653737265,0.13159564514006372,133
21,play,-0.16015908175323712,0.0458023958488681,156
21,restaurant,0.27824504906761516,0.04579119513450892,52
22,bakery,0.2694394478132835,0.01565374255115347,80
22,closet,-0.018616330987735845,0.8563766937415338,97
22,corner,0.045964707146059644,0.6366622241637878,108
22,fitness,0.2637409074485042,0.03833415785783516,62
22,fridge,0.5136360418606747,0.001355383862019102,36
22,garage,0.0742517827263972,0.47693042248471806,94
22,handbag,0.3329126987506054,0.0067341332980576955,65
22,library,-0.36696380771414316,1.5049019621712019e-05,132
22,mall,-0.25818432303022254,0.0026956889364672665,133
22,play,-0.13666322135986528,0.08890800859125499,156
22,restaurant,0.27863560340096394,0.045475112407338376,52
23,bakery,0.06580140321466194,0.5619740611298176,80
23,closet,-0.006807395708964101,0.9472371626555085,97
23,corner,0.05096016911156752,0.6004373498302528,108
23,fitness,0.4063727302942433,0.00104794588642427,62
23,fridge,0.44877326712620913,0.006045058416588242,36
23,garage,0.052906700795151036,0.6125469721948233,94
23,handbag,0.2772389932554979,0.025363085881791026,65
23,library,-0.3655728297954212,1.630142040484251e-05,132
23,mall,-0.27803904838409604,0.0011937283779105243,133
23,play,-0.13031458794841866,0.10491893123511617,156
23,restaurant,0.22091843774777592,0.11552096186831416,52
24,bakery,0.12607797177172952,0.2651156113932869,80
24,closet,0.005452198212165194,0.9577301632527576,97
24,corner,-0.04067630775789158,0.6759655405400454,108
24,fitness,0.3546362527215624,0.004682069971054449,62
24,fridge,0.4610348395591329,0.004656069794727744,36
24,garage,0.10936788794316128,0.29402857607757915,94
24,handbag,0.28528972548662646,0.021247988505409255,65
24,library,-0.33240700286550834,9.857657881275035e-05,132
24,mall,-0.18810497866172526,0.030139720911127398,133
24,play,-0.2637576405696442,0.0008780169777272395,156
24,restaurant,0.19039036811990773,0.17639015265459135,52
25,bakery,0.1075149206895725,0.3424868089325763,80
25,closet,0.05942641261272522,0.5631248729344788,97
25,corner,0.05531949635300926,0.5695983146988952,108
25,fitness,0.4489779166247222,0.0002519813768052817,62
25,fridge,0.43777307367357277,0.007580701229090851,36
25,garage,0.09218433906648393,0.3768660239057281,94
25,handbag,0.33996808723453903,0.005592272284566868,65
25,library,-0.3428448093570697,5.717300387741217e-05,132
25,mall,-0.2339222595419979,0.006729055214534808,133
25,play,-0.0874459307185008,0.27770195847228146,156
25,restaurant,0.3320280156713291,0.016183906262124906,52
26,bakery,0.15317703634626567,0.17493541548136618,80
26,closet,-0.10800517735301267,0.2923309980595775,97
26,corner,-0.047216670056907474,0.6274982641076046,108
26,fitness,0.26374077143224445,0.03833426131730818,62
26,fridge,0.48086599508760103,0.0029905497924376974,36
26,garage,0.14228156139845144,0.17131693359329603,94
26,handbag,0.3514567172741876,0.004094994202921708,65
26,library,-0.30059653470588604,0.00046160899924155914,132
26,mall,-0.22507126072704867,0.009196671634402536,133
26,play,-0.1587354553949625,0.047790419138264546,156
26,restaurant,0.3488584613853764,0.011254875015228444,52
27,bakery,0.11502680941175232,0.30962177847874184,80
27,closet,-0.0929357329648977,0.3652500263545033,97
27,corner,0.08292458261501799,0.3935370088910285,108
27,fitness,0.44225875487630206,0.00031947998189960823,62
27,fridge,0.47994912335893836,0.0030541569771902755,36
27,garage,0.11460652948295162,0.2713699566962725,94
27,handbag,0.3605520948014619,0.0031737178874527146,65
27,library,-0.41739681075628493,6.387827716374453e-07,132
27,mall,-0.238914910703556,0.00561392365274439,133
27,play,-0.13984454327704932,0.08165260213295443,156
27,restaurant,0.27391741886987125,0.04941520078985485,52
28,bakery,0.09541097895419254,0.39985866407715176,80
28,closet,-0.10739272774280938,0.2950923437895148,97
28,corner,0.0486536543881923,0.6170494598506864,108
28,fitness,0.430845284923051,0.00047285659704353534,62
28,fridge,0.5547768975294076,0.0004457612503103232,36
28,garage,0.17485329174123285,0.091873824356447,94
28,handbag,0.3345729381862926,0.006448468611373925,65
28,library,-0.366797810461429,1.5193567184266188e-05,132
28,mall,-0.18027974730847415,0.03784701852705005,133
28,play,-0.14190977135208907,0.07720277343844653,156
28,restaurant,0.31330505525076713,0.023720448016877557,52
29,bakery,0.14112404526480948,0.21179466594641172,80
29,closet,-0.017568081682461077,0.8643844422326274,97
29,corner,0.010214750132588477,0.9164374729995438,108
29,fitness,0.364357559413768,0.0035985242482199425,62
29,fridge,0.515445611132855,0.0012944264833948708,36
29,garage,0.13418358287896628,0.19726213234172543,94
29,handbag,0.309238826401351,0.012191373820046916,65
29,library,-0.2802232542113026,0.0011364994124575575,132
29,mall,-0.19188726022387753,0.02692060616031014,133
29,play,-0.19293211790694695,0.015819330757539427,156
29,restaurant,0.34154467093860086,0.013209896713706261,52
30,bakery,0.14397740946838677,0.2026082100418662,80
30,closet,-0.047120661346704146,0.6467202681338875,97
30,corner,0.04701573372745592,0.628965290361411,108
30,fitness,0.42771500608536606,0.0005252897568678597,62
30,fridge,0.4816442098802984,0.002937470032829508,36
30,garage,0.12166658677900861,0.24274066136329295,94
30,handbag,0.34368287886690874,0.0050625230177897655,65
30,library,-0.3757253758163529,9.017995269698986e-06,132
30,mall,-0.2294188712415362,0.00789938352617542,133
30,play,-0.14156908503596297,0.07792304949550474,156
30,restaurant,0.20566705090887524,0.1435433658775971,52
31,bakery,0.16929290475948228,0.13329623734195586,80
31,closet,-0.017683263864886035,0.8635038607663006,97
31,corner,0.0777072813463543,0.4240755523123714,108
31,fitness,0.3145673233353558,0.012772019473811706,62
31,fridge,0.40814801748992385,0.013468229252726142,36
31,garage,0.15684834955161298,0.13111608262299945,94
31,handbag,0.3558685630209339,0.0036220980155735826,65
31,library,-0.36975979728586744,1.2800780680173938e-05,132
31,mall,-0.17938267565251345,0.03882813716633854,133
31,play,-0.11180052595587174,0.1646753158951631,156
31,restaurant,0.2485089719923667,0.07565960167937341,52
32,bakery,0.17949136307238003,0.11113321160636135,80
32,closet,-0.07331835278656233,0.4754112632665447,97
32,corner,-0.011832516793255771,0.9032629395644903,108
32,fitness,0.3272760693418104,0.009418932758665108,62
32,fridge,0.4236557212545347,0.010030870073676491,36
32,garage,0.12093517127351068,0.24560565885455055,94
32,handbag,0.2965606057597126,0.01644935541569491,65
32,library,-0.3124548609190109,0.00026485803964431553,132
32,mall,-0.25117570965751623,0.003542567950118722,133
32,play,-0.14443879366494564,0.07202239066408049,156
32,restaurant,0.378816301033386,0.005617473894136905,52
33,bakery,0.15874239689062367,0.15959811796046433,80
33,closet,-0.15124623572665774,0.13919016889612193,97
33,corner,-0.0018346634501532997,0.9849651257125789,108
33,fitness,0.4107329582496141,0.000913377258663363,62
33,fridge,0.4803765602236636,0.003024358862413778,36
33,garage,0.05408957983632752,0.604611395377652,94
