NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
frequency,Frequency,conjunction,gym,7029,33,-17.38539432747857,-23.025850929940457,9.72607105974314,-23.025850929940457,0.0
frequency,Frequency,conjunction,hot,7029,33,-5.066573716592096,0.0,9.357004381110658,-23.025850929940457,0.0
frequency,Frequency,conjunction,mall,7029,33,-14.918156940524803,-23.025850929940457,10.998593608083581,-23.025850929940457,0.0
frequency,Frequency,conjunction,mask,7029,33,-8.648206922043364,0.0,11.151615696397648,-23.025850929940457,0.0
frequency,Frequency,conjunction,meat,7029,33,-12.78165725725547,-23.025850929940457,11.361929896682799,-23.025850929940457,0.0
frequency,Frequency,conjunction,restaurant,7029,33,-12.323694863911795,-23.025850929940457,11.485158776519567,-23.025850929940457,0.0
frequency,Frequency,conjunction,salad,7029,33,-10.161643133400954,0.0,11.43416323656262,-23.025850929940457,0.0
frequency,Frequency,conjunction,science,7029,33,-11.60369984864019,-6.214608098422191,10.07644374803232,-23.025850929940457,0.0
frequency,Frequency,conjunction,throw,7029,33,-10.630519064481177,-0.002002002670673,11.460321550118433,-23.025850929940457,0.0
frequency,Frequency,conjunction,transport,7029,33,-10.136459973102653,-0.002002002670673,11.280912566807388,-23.025850929940457,0.0
frequency,Frequency,disjunction,bag,7029,33,-1.4371566998053424,-1.2498064739854993,1.4111604858048776,-4.627108510383873,-0.0098311737144025
frequency,Frequency,disjunction,bakery,7029,33,-1.9667183591496613,-0.7493966411205938,2.257235484404445,-7.624702367671919,-0.0004883597662892
frequency,Frequency,disjunction,beach,7029,33,-1.095021038764087,-1.032829857728757,0.9781469948236362,-3.771601113809772,-0.0232841683521639
frequency,Frequency,disjunction,cold,7029,33,-1.1597454411351875,-0.9440865510100596,0.9767721634929213,-3.7589920554110776,-0.0235831297438897
frequency,Frequency,disjunction,cut,7029,33,-2.0679989001159265,-1.1671035612189091,2.341400080038784,-6.424044942373625,-0.0016233987188354
