fridge_pos,fridge_neg,handbag_pos,handbag_neg,mall_pos,mall_neg,bakery_pos,bakery_neg,play_pos,play_neg,corner_pos,corner_neg,restaurant_pos,restaurant_neg,fitness_pos,fitness_neg,library_pos,library_neg,garage_pos,garage_neg,closet_pos,closet_neg
"('cool drinks', 1)","('salsa', 1)","('my kindle', 1)","('receipts', 2)","('burger king', 2)","('pet', 2)","('yogurt', 1)","('baguettes', 2)","('trains', 3)","('pens', 2)","('chef salad', 2)","('canned goods', 2)","('slushies', 1)","('breadsticks', 2)","('massage', 1)","('jazzercize', 2)","('science history', 1)","('geography', 2)","('rings', 1)","('bucket', 1)","('swim suit', 2)","('towel', 2)"
"('cheese', 1)","('ice', 1)","('clip', 1)","('wipes', 2)","('dairy queen', 2)","('hats', 2)","('frozen yogurt', 1)","('cheese', 2)","('checkers', 3)","('bathtub', 2)","('beets', 2)","('hamburger', 2)","('smoothies', 1)","('lobster', 2)","('meditation', 1)","('weightlifting', 2)","('life science', 1)","('finance', 2)","('basketballs', 1)","('couch', 1)","('bathing suit', 2)","('tuxedo', 2)"
"('flavored water', 1)","('water', 1)","('whiteout', 1)","('drink', 2)","('gyros', 2)","('gifts', 2)","('macarons', 1)","('eggs', 2)","('marbles', 3)","('art supplies', 2)","('garlic', 2)","('sandwich', 2)","('notsure', 1)","('onion rings', 2)","('dancing', 1)","('walking', 2)","('evolution', 1)","('poetry', 2)","('beach balls', 1)","('trampoline', 1)","('slacks', 2)","('work clothes', 2)"
"('gatorade', 1)","('soda', 1)","('mascara', 1)","('mascara', 2)","('court', 2)","('notsure', 2)","('mousse', 1)","('focaccia', 2)","('monopoly', 3)","('sofa', 2)","('radishes', 2)","('fruit', 2)","('sangria', 1)","('soups', 2)","('zumba', 1)","('martial arts', 2)","('volcanoes', 1)","('mystery', 2)","('softballs', 1)","('radio', 1)","('halter top', 2)","('shorts', 2)"
"('kool aid', 1)","('ice cream', 1)","('high lighter', 1)","('lip gloss', 2)","(""arby's"", 2)","('escalator', 2)","('danishes', 1)","('hot chocolate', 2)","('building blocks', 3)","('guns', 2)","('tomatos', 2)","('cheese', 2)","('spirits', 1)","('steaks', 2)","('kick boxing', 1)","('track', 1)","('weather', 1)","('fiction', 2)","('kite', 1)","('rollerblades', 1)","('tshirts', 2)","('purses', 2)"
"('punch', 1)","('soup', 1)","('color', 1)","('tampon', 1)","('fish', 2)","('fashion', 1)","('popsicles', 1)","('croissant', 2)","('hot wheels', 2)","('pillows', 2)","('romaine', 2)","('sodas', 2)","('liquour', 1)","('pork', 2)","('water polo', 1)","('endurance training', 1)","('global warming', 1)","('civics', 2)","('whiffle ball', 1)","('boots', 1)","('suit', 1)","('suits', 2)"
"('energy drinks', 1)","('soy sauce', 1)","('note', 1)","('mask', 1)","('fast', 1)","('purses', 1)","('flan', 1)","('garlic bread', 2)","('play dough', 2)","('tools', 2)","('iceberg', 2)","('nuts', 2)","('hot tea', 1)","('ribs', 2)","('field hockey', 1)","('cardio dance', 1)","('space travel', 1)","('statistics', 2)","('nerf ball', 1)","('iron shelf', 1)","('tux', 1)","('blouses', 2)"
"('koolaid', 1)","('apples', 1)","('beeper', 1)","('hand lotion', 1)","('german', 1)","('card', 1)","('milkshakes', 1)","('juice', 1)","('toy', 2)","('jewelry', 2)","('avacado', 2)","('napkins', 2)","('cider', 1)","('burger', 2)","('hiking', 1)","('sleeping', 1)","('prehistoric animals', 1)","('foreign language', 2)","('wiffleball', 1)","('electric cables', 1)","('kilt', 1)","('pjs', 2)"
,"('beef', 1)","('buzzer', 1)","('hair ties', 1)","('chicken strips', 1)","('toy store', 1)","('cupcake', 1)","('smoothies', 1)","('doll', 2)","('refridgerator', 2)","('mushrooms', 2)","('soup', 2)","('liquors', 1)","('taco', 2)","('table tennis', 1)","('ice skating', 1)","('science set', 1)","('magazines', 2)","('bebags', 1)","('hover board', 1)","('clothes', 1)","('underwear', 2)"
,"('chicken', 1)","('business card', 1)","('picture', 1)","('bbq', 1)","('gag gift', 1)","('cookie dough', 1)","('bananbread', 1)","('video game', 2)","('power tools', 2)","('thousand island', 1)","('granolbars', 2)","('sodas', 1)","('hot dog', 2)","('pickle ball', 1)","('karate class', 1)","('science websites', 1)","('mythology', 1)","('beanbag', 1)","('canned food', 1)","('t shirts', 1)","('jackets', 2)"
,"('hotdogs', 1)","('receipt', 1)","('make-up', 1)","('deli', 1)","('deparment', 1)","('doughnut', 1)","('regular bread', 1)","('toy trucks', 2)","('cabinets', 1)","('light ranch', 1)","('cookies', 2)","('sparkling water', 1)","('chicken tenders', 2)","('relay racing', 1)","('fitness', 1)","('books for science', 1)","('ecology', 1)","('darts', 1)","('shelves', 1)","('sandles', 1)","('books', 2)"
,"('cake', 1)","('lip pencil', 1)","('lotion', 1)","('eggs', 1)","('coat', 1)","('crepes', 1)","('pizzcrust', 1)","('stuffed toys', 2)","('blanket', 1)","('oil', 1)","('canned food', 2)","('liquor', 1)","('mashed potatoes', 2)","('backgammon', 1)","('dance workout', 1)","('science tv shows', 1)","('engineering', 1)","('stuffed animals', 1)","('bench', 1)","('long sleeve', 1)","('iron', 2)"
,,"('keys', 1)","('book', 1)","('salads', 1)","('knick knack', 1)","('macroons', 1)","('hamburger buns', 1)","('chalk', 2)","('dishes', 1)","('ham', 1)","('frozen pizza', 2)","('lager', 1)","('chili', 2)","('handball', 1)","('dance class', 1)","('newspaper', 1)","('ancient civilizations', 1)","('toys', 1)","('wheels', 1)","('cotton', 1)","('sweaters', 2)"
,,"('wipes', 1)","('charger', 1)","('sakura', 1)","('phones', 1)","('sweet bread', 1)","('orange juice', 1)","('clay', 2)","('computers', 1)","('turkey salad', 1)","('chocolate', 2)","('smoothie', 1)","('cake', 2)","('bootcamp', 1)","('ballet class', 1)","('meteorolgy', 1)","('chemistry', 1)","('tire', 1)","('fan', 1)","('tanktop', 1)","('t-shirts', 2)"
,,"('brush', 1)","('drivers license', 1)","(""popeye's"", 1)","('sitting area', 1)","('chocolates', 1)","('butter', 1)","('jump rope', 2)","('coffee table', 1)","('nut salad', 1)","('cakes', 2)","('donuts', 1)","('entrees', 1)","('biking', 1)","('racquet ball', 1)","('computer programming', 1)","('fantasy books', 1)","('axe', 1)","('board games', 1)","('swinging custom', 1)","('stuffed animals', 1)"
,,"('snacks', 1)","('makeup case', 1)","(""charley's grilled subs"", 1)","('movie rentals', 1)","('croissants', 1)","('tortillas', 1)","('frisbee', 2)","('ipad', 1)","('bacon salad', 1)","('sandwiches', 2)","('bajfresh', 1)","('sushi', 1)","('boxing', 1)","('push ups', 1)","('science digest', 1)","('mystery books', 1)","('hulhoop', 1)","('videos', 1)","('t shirt', 1)","('arts and crafts', 1)"
,,"('paintbrush', 1)","('nail file', 1)","('shrimp', 1)","('kiosk', 1)","('smores', 1)","('grains bar', 1)","('toy car', 2)","('video games', 1)","('ham salad', 1)","('oysters', 1)","('cake', 1)","('bruschetta', 1)","('volley ball', 1)","('jumping jacks', 1)","('natural science', 1)","('romance books', 1)","('bean bag', 1)","('motorcycles', 1)","('leotard', 1)","('sweatshirt', 1)"
,,"('pastels', 1)","('cell phone', 1)","('fish sticks', 1)","('pretzels', 1)","('jello', 1)","('croisants', 1)","('board game', 2)","('board game', 1)","('pickles', 1)","('potatos', 1)","('pizza', 1)","('chicken parmesan', 1)","('rowing', 1)","('rowing machine', 1)","('organic science', 1)","('newspapers', 1)","('rocks', 1)","('snowmobile', 1)","('short', 1)","('t-shirt', 1)"
,,"('index card', 1)","('calender', 1)","('cheeseburgers', 1)","('calendars', 1)","('cobbler', 1)","('cream', 1)","('play station', 1)","('ball', 1)","('egg', 1)","('paper plates', 1)","('hotdog', 1)","('fruit', 1)","('lacrose', 1)","('trampoline', 1)","('research science', 1)","('physical education', 1)","('balloons', 1)","('vice', 1)","('bodypiece', 1)","('leggings', 1)"
,,"('legal paper', 1)","('bandaids', 1)","('chilli fries', 1)","('clothings', 1)","('macaroons', 1)","('breakfast pastries', 1)","('toy dinosaur', 1)","('hair dryer', 1)","('greek salad', 1)","('apple', 1)","('chicken', 1)","('veggies', 1)","('tagging', 1)","('stair climber', 1)","('cancer research', 1)","('classic literature', 1)","('corn hole', 1)","('hand tool', 1)","('jacket', 1)","('board games', 1)"
,,"('camera', 1)","('earbuds', 1)","('chicken sandwich', 1)","('carpet', 1)","('cinnamon bun', 1)","('soft drinks', 1)","('baseballs', 1)","('mattress', 1)","('ceasor salad', 1)","('orange', 1)","('absinthe', 1)","('coke', 1)","('tug of war', 1)","('circuit', 1)","('robots', 1)","('property law', 1)","('volley ball', 1)","('work bench', 1)","('bathing costume', 1)","('workout clothes', 1)"
,,"('computer', 1)","('coffee', 1)","('salad', 1)","('photo booth', 1)","('donut', 1)","('chicken pie', 1)","('footballs', 1)","('dining table', 1)","('cobb salad', 1)","('pepper', 1)","('cognac', 1)","('fried rice', 1)","('hiit', 1)","('personal training sessions', 1)","('space and earth', 1)","('medieval literature', 1)","('horse shoes', 1)","('nails', 1)","('trunks', 1)","('sweatpant', 1)"
,,"('eye liner pencil', 1)","('smartphone', 1)","('fruits', 1)","('t-shirt booth', 1)","('muffin', 1)","('pasta', 1)","('soccer balls', 1)","('chincabinet', 1)","('bacon bits', 1)","('noodles', 1)","('chocolate milk', 1)","('shrimp', 1)","('yankees', 1)","('rock climbing', 1)","('medical', 1)","('gender studies', 1)","('ball bearings', 1)","('bbq', 1)","('sundress', 1)","('tie', 1)"
,,,"('handgun', 1)","('doughnut', 1)","('retail', 1)","('bear claws', 1)","('pastries', 1)","('basketballs', 1)","('clock', 1)","('shredded cheese', 1)","('macaroni', 1)",,"('pork chops', 1)","('buffalo biki', 1)","('singles tennis', 1)","('computer science', 1)","('art books', 1)","('rugby ball', 1)","('washing machine', 1)","('tankini', 1)","('fur suit', 1)"
,,,"('medecine', 1)","('cheeseburger', 1)","('accessories ', 1)","('swiss rolls', 1)","('cinamon rolls', 1)","('golf balls', 1)","('scissors', 1)","('ham chunks', 1)","('pancakes', 1)",,"('tofu', 1)","('lakers', 1)","('muay thai', 1)","('earth', 1)","('graphic novels', 1)","('spanners', 1)","('small refrigerator for water', 1)","('skirts', 1)","('makeup', 1)"
