context,word,frequency,cloze_probability,type
bakery,pretzels,2,0.038461538461538464,pos
bakery,crullers,2,0.038461538461538464,pos
bakery,cream,1,0.019230769230769232,pos
bakery,yogurt,1,0.019230769230769232,pos
bakery,frozen yogurt,1,0.019230769230769232,pos
bakery,macarons,1,0.019230769230769232,pos
bakery,mousse,1,0.019230769230769232,pos
bakery,danishes,1,0.019230769230769232,pos
bakery,popsicles,1,0.019230769230769232,pos
bakery,flan,1,0.019230769230769232,pos
bakery,milkshakes,1,0.019230769230769232,pos
bakery,cupcake,1,0.019230769230769232,pos
bakery,cookie dough,1,0.019230769230769232,pos
bakery,doughnut,1,0.019230769230769232,pos
bakery,crepes,1,0.019230769230769232,pos
bakery,macroons,1,0.019230769230769232,pos
bakery,sweet bread,1,0.019230769230769232,pos
bakery,chocolates,1,0.019230769230769232,pos
bakery,croissants,1,0.019230769230769232,pos
bakery,smores,1,0.019230769230769232,pos
bakery,jello,1,0.019230769230769232,pos
bakery,cobbler,1,0.019230769230769232,pos
bakery,macaroons,1,0.019230769230769232,pos
bakery,cinnamon bun,1,0.019230769230769232,pos
bakery,donut,1,0.019230769230769232,pos
bakery,muffin,1,0.019230769230769232,pos
bakery,bear claws,1,0.019230769230769232,pos
bakery,swiss rolls,1,0.019230769230769232,pos
bakery,strawberry crumble,1,0.019230769230769232,pos
bakery,snickers rolls,1,0.019230769230769232,pos
bakery,buns,1,0.019230769230769232,pos
bakery,flatbread,1,0.019230769230769232,pos
bakery,coke float,1,0.019230769230769232,pos
bakery,coccola,1,0.019230769230769232,pos
bakery,energy drink,1,0.019230769230769232,pos
bakery,biscotti,1,0.019230769230769232,pos
bakery,baklava,1,0.019230769230769232,pos
bakery,cannoli,1,0.019230769230769232,pos
bakery,long johns,1,0.019230769230769232,pos
bakery,mango desert,1,0.019230769230769232,pos
bakery,icecream,1,0.019230769230769232,pos
bakery,milk bar mini,1,0.019230769230769232,pos
bakery,momofuku milkibar,1,0.019230769230769232,pos
bakery,dominique ansel bakkery,1,0.019230769230769232,pos
bakery,taiyaki,1,0.019230769230769232,pos
bakery,rolls,1,0.019230769230769232,pos
bakery,deep fried dessert,1,0.019230769230769232,pos
bakery,frozen dessert,1,0.019230769230769232,pos
bakery,pastry,1,0.019230769230769232,pos
bakery,jellied dessert,1,0.019230769230769232,pos
bakery,petit fours,1,0.019230769230769232,pos
bakery,bagels,1,0.019230769230769232,pos
bakery,tortes,1,0.019230769230769232,pos
bakery,puff pastrys,1,0.019230769230769232,pos
salad,lettuce,39,0.75,pos
salad,tomatoes,24,0.46153846153846156,pos
salad,onions,16,0.3076923076923077,pos
salad,carrots,15,0.28846153846153844,pos
salad,dressing,13,0.25,pos
salad,croutons,12,0.23076923076923078,pos
salad,cucumbers,10,0.19230769230769232,pos
salad,tomato,10,0.19230769230769232,pos
salad,cheese,8,0.15384615384615385,pos
salad,olives,8,0.15384615384615385,pos
salad,salad dressing,6,0.11538461538461539,pos
salad,celery,6,0.11538461538461539,pos
salad,spinach,6,0.11538461538461539,pos
salad,onion,6,0.11538461538461539,pos
salad,cucumber,5,0.09615384615384616,pos
salad,carrot,4,0.07692307692307693,pos
salad,kale,4,0.07692307692307693,pos
salad,cabbage,4,0.07692307692307693,pos
salad,chicken salad,3,0.057692307692307696,pos
salad,broccoli,3,0.057692307692307696,pos
salad,crutons,3,0.057692307692307696,pos
salad,peppers,3,0.057692307692307696,pos
salad,arugula,3,0.057692307692307696,pos
salad,ranch,2,0.038461538461538464,pos
salad,blue cheese,2,0.038461538461538464,pos
salad,vinegar,2,0.038461538461538464,pos
salad,eggs,2,0.038461538461538464,pos
salad,fruit salad,2,0.038461538461538464,pos
salad,fruit,2,0.038461538461538464,pos
salad,chicken,2,0.038461538461538464,pos
salad,chef salad,2,0.038461538461538464,pos
salad,beets,2,0.038461538461538464,pos
salad,garlic,2,0.038461538461538464,pos
salad,radishes,2,0.038461538461538464,pos
salad,tomatos,2,0.038461538461538464,pos
salad,romaine,2,0.038461538461538464,pos
salad,iceberg,2,0.038461538461538464,pos
salad,avacado,2,0.038461538461538464,pos
salad,mushrooms,2,0.038461538461538464,pos
salad,thousand island,1,0.019230769230769232,pos
salad,light ranch,1,0.019230769230769232,pos
salad,oil,1,0.019230769230769232,pos
salad,ham,1,0.019230769230769232,pos
salad,turkey salad,1,0.019230769230769232,pos
salad,nut salad,1,0.019230769230769232,pos
salad,bacon salad,1,0.019230769230769232,pos
salad,ham salad,1,0.019230769230769232,pos
salad,pickles,1,0.019230769230769232,pos
salad,egg,1,0.019230769230769232,pos
salad,greek salad,1,0.019230769230769232,pos
salad,ceasor salad,1,0.019230769230769232,pos
salad,cobb salad,1,0.019230769230769232,pos
salad,bacon bits,1,0.019230769230769232,pos
salad,shredded cheese,1,0.019230769230769232,pos
salad,ham chunks,1,0.019230769230769232,pos
salad,pepperoni,1,0.019230769230769232,pos
salad,tunsalad,1,0.019230769230769232,pos
salad,veggie salad,1,0.019230769230769232,pos
salad,house salad,1,0.019230769230769232,pos
salad,cesar salad,1,0.019230769230769232,pos
salad,lettice,1,0.019230769230769232,pos
salad,cherry tomatoes,1,0.019230769230769232,pos
salad,red onion,1,0.019230769230769232,pos
salad,corn,1,0.019230769230769232,pos
salad,bell peppers,1,0.019230769230769232,pos
salad,asparagus,1,0.019230769230769232,pos
salad,italisalad dressing,1,0.019230769230769232,pos
salad,grated cheese,1,0.019230769230769232,pos
salad,romaine lettuce,1,0.019230769230769232,pos
salad,avocado,1,0.019230769230769232,pos
salad,walnuts,1,0.019230769230769232,pos
salad,grapes,1,0.019230769230769232,pos
salad,salmon,1,0.019230769230769232,pos
salad,bagged salads,1,0.019230769230769232,pos
salad,vegetables,1,0.019230769230769232,pos
salad,cukes,1,0.019230769230769232,pos
salad,nuts,1,0.019230769230769232,pos
salad,red onions,1,0.019230769230769232,pos
salad,green onion,1,0.019230769230769232,pos
salad,cruotons,1,0.019230769230769232,pos
salad,salad,1,0.019230769230769232,pos
salad,apples,1,0.019230769230769232,pos
salad,bananas,1,0.019230769230769232,pos
salad,potatoes,1,0.019230769230769232,pos
salad,eggplant,1,0.019230769230769232,pos
salad,green peppers,1,0.019230769230769232,pos
salad,avocados,1,0.019230769230769232,pos
salad,endive,1,0.019230769230769232,pos
salad,apple,1,0.019230769230769232,pos
salad,pomegranate,1,0.019230769230769232,pos
salad,pineapple,1,0.019230769230769232,pos
salad,banana,1,0.019230769230769232,pos
salad,cherry,1,0.019230769230769232,pos
salad,strawberry,1,0.019230769230769232,pos
salad,coutons,1,0.019230769230769232,pos
salad,dinner salads,1,0.019230769230769232,pos
salad,fruit salads,1,0.019230769230769232,pos
salad,green salads,1,0.019230769230769232,pos
salad,desserts,1,0.019230769230769232,pos
salad,pasta,1,0.019230769230769232,pos
salad,bound salads,1,0.019230769230769232,pos
salad,ranch dressing,1,0.019230769230769232,pos
salad,croquets,1,0.019230769230769232,pos
salad,strawberries,1,0.019230769230769232,pos
salad,salad greens,1,0.019230769230769232,pos
restaurant,beer,42,0.8076923076923077,pos
restaurant,wine,39,0.75,pos
restaurant,cocktails,32,0.6153846153846154,pos
restaurant,vodka,16,0.3076923076923077,pos
restaurant,whiskey,15,0.28846153846153844,pos
restaurant,soda,14,0.2692307692307692,pos
restaurant,tequila,11,0.21153846153846154,pos
restaurant,water,9,0.17307692307692307,pos
restaurant,rum,8,0.15384615384615385,pos
restaurant,gin,6,0.11538461538461539,pos
restaurant,juice,4,0.07692307692307693,pos
restaurant,coke,4,0.07692307692307693,pos
restaurant,whisky,3,0.057692307692307696,pos
restaurant,tea,3,0.057692307692307696,pos
restaurant,coffee,3,0.057692307692307696,pos
restaurant,shots,2,0.038461538461538464,pos
restaurant,brandy,2,0.038461538461538464,pos
restaurant,hard seltzer,2,0.038461538461538464,pos
restaurant,wine coolers,2,0.038461538461538464,pos
restaurant,lemonade,2,0.038461538461538464,pos
restaurant,iced tea,2,0.038461538461538464,pos
restaurant,scotch,2,0.038461538461538464,pos
restaurant,bourbon,2,0.038461538461538464,pos
restaurant,milk,2,0.038461538461538464,pos
restaurant,margaritas,2,0.038461538461538464,pos
restaurant,champagne,2,0.038461538461538464,pos
restaurant,high balls,1,0.019230769230769232,pos
restaurant,ice tea,1,0.019230769230769232,pos
restaurant,diet coke,1,0.019230769230769232,pos
restaurant,orange soda,1,0.019230769230769232,pos
restaurant,slushies,1,0.019230769230769232,pos
restaurant,smoothies,1,0.019230769230769232,pos
restaurant,notsure,1,0.019230769230769232,pos
restaurant,sangria,1,0.019230769230769232,pos
restaurant,spirits,1,0.019230769230769232,pos
restaurant,liquour,1,0.019230769230769232,pos
restaurant,hot tea,1,0.019230769230769232,pos
restaurant,cider,1,0.019230769230769232,pos
restaurant,liquors,1,0.019230769230769232,pos
restaurant,sodas,1,0.019230769230769232,pos
restaurant,sparkling water,1,0.019230769230769232,pos
restaurant,liquor,1,0.019230769230769232,pos
restaurant,lager,1,0.019230769230769232,pos
