set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bakery,sandwiches,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,cakes,sandwiches,0,0.0,0.0,1.0
3,500,bakery,water,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,sandwiches,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,ice cream,muffins,1,-4.422848629194137,0.012,0.012
3,500,bakery,cakes,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,muffins,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,muffins,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,ice cream,water,1,-4.605170185988091,0.01,0.01
3,500,bakery,ice cream,muffins,0,-0.012072581234269249,0.012,0.988
3,500,bakery,water,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,water,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,ice cream,muffins,0,-0.012072581234269249,0.012,0.988
3,500,bakery,ice cream,water,0,-0.01005033585350145,0.01,0.99
3,500,bakery,cakes,pretzels,1,-4.017383521085972,0.018,0.018
3,500,bakery,ice cream,muffins,1,-4.422848629194137,0.012,0.012
3,500,bakery,water,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,water,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,water,cakes,0,-0.36816932336446756,0.308,0.692
3,500,bakery,water,sandwiches,0,0.0,0.0,1.0
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,water,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,water,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,cakes,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,pretzels,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,water,ice cream,1,-1.4961092271270973,0.224,0.224
3,500,bakery,sandwiches,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,ice cream,muffins,1,-4.422848629194137,0.012,0.012
3,500,bakery,ice cream,water,0,-0.01005033585350145,0.01,0.99
3,500,bakery,ice cream,muffins,1,-4.422848629194137,0.012,0.012
3,500,bakery,sandwiches,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,water,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,ice cream,muffins,1,-4.422848629194137,0.012,0.012
3,500,bakery,sandwiches,ice cream,1,-1.4961092271270973,0.224,0.224
3,500,bakery,water,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,ice cream,muffins,1,-4.422848629194137,0.012,0.012
3,500,bakery,muffins,ice cream,1,-1.4961092271270973,0.224,0.224
3,500,bakery,water,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,cakes,pretzels,0,-0.01816397062767118,0.018,0.982
3,500,bakery,muffins,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,cakes,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,pretzels,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,sandwiches,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,cakes,sandwiches,0,0.0,0.0,1.0
3,500,bakery,pretzels,sandwiches,0,0.0,0.0,1.0
3,500,bakery,water,sandwiches,0,0.0,0.0,1.0
3,500,bakery,water,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,water,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,cakes,pretzels,0,-0.01816397062767118,0.018,0.982
3,500,bakery,sandwiches,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,sandwiches,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,beach,bikini,shorts,0,-1.1457038962019603,0.682,0.31799999999999995
3,500,beach,bikini,sunglasses,0,-0.05975000440577405,0.058,0.942
3,500,beach,jeans,sunglasses,1,-2.7806208939370456,0.062,0.062
3,500,beach,coat,jeans,1,-2.1541650878757723,0.116,0.116
3,500,beach,coat,jeans,0,-0.1232982163444936,0.116,0.884
3,500,beach,shorts,jacket,0,-0.020202707317519466,0.02,0.98
3,500,beach,shorts,coat,1,-5.521460917862246,0.004,0.004
3,500,beach,sunglasses,jacket,1,-3.575550768806933,0.028,0.028
3,500,beach,bikini,shorts,0,-1.1457038962019603,0.682,0.31799999999999995
3,500,beach,jacket,jeans,1,-2.1541650878757723,0.116,0.116
3,500,beach,jeans,jacket,0,-0.024292692569044587,0.024,0.976
3,500,beach,shorts,sunglasses,0,-0.05129329438755058,0.05,0.95
3,500,beach,shorts,sunglasses,0,-0.05129329438755058,0.05,0.95
3,500,beach,coat,jacket,0,-0.028399474521698,0.028,0.972
