set_boundary,num_reps,context,trigger,query,neg,log_likelihood,empirical_probability
3,500,beach,coat,bikini,1,0.0,1.0
3,500,beach,bikini,coat,0,0.0,0.0
3,500,beach,jacket,sunglasses,1,-0.25877072895736086,0.772
3,500,beach,jacket,coat,1,-2.0099154790312257,0.134
3,500,beach,bikini,jeans,0,-3.575550768806932,0.972
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,bikini,shorts,1,-0.016129381929883644,0.984
3,500,beach,jacket,jeans,0,-23.025850929940457,1.0
3,500,beach,bikini,sunglasses,0,-0.014098924379501648,0.014
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,sunglasses,jacket,1,-1.4784096500276962,0.228
3,500,beach,coat,jacket,0,-2.0099154790312257,0.866
3,500,beach,coat,jeans,1,0.0,1.0
3,500,beach,shorts,sunglasses,1,-23.025850929940457,0.0
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,jacket,coat,1,-2.0099154790312257,0.134
3,500,beach,jacket,jeans,0,-23.025850929940457,1.0
3,500,beach,bikini,shorts,0,-4.135166556742355,0.984
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,jeans,shorts,1,-0.4155154439616658,0.66
3,500,beach,coat,shorts,1,0.0,1.0
3,500,beach,shorts,coat,0,0.0,0.0
3,500,beach,shorts,jeans,1,-1.0788096613719298,0.34
3,500,beach,coat,jeans,1,0.0,1.0
3,500,beach,bikini,coat,0,0.0,0.0
3,500,beach,bikini,shorts,1,-0.016129381929883644,0.984
3,500,beach,shorts,coat,1,-23.025850929940457,0.0
3,500,beach,shorts,sunglasses,1,-23.025850929940457,0.0
3,500,beach,bikini,shorts,0,-4.135166556742355,0.984
3,500,beach,jeans,bikini,1,-3.575550768806933,0.028
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,sunglasses,jeans,0,-23.025850929940457,1.0
3,500,beach,bikini,sunglasses,1,-4.268697949366879,0.014
3,500,beach,coat,jacket,0,-2.0099154790312257,0.866
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,sunglasses,jeans,1,0.0,1.0
3,500,beach,jacket,jeans,1,0.0,1.0
3,500,beach,sunglasses,bikini,1,-0.014098924379501648,0.986
3,500,beach,bikini,shorts,0,-4.135166556742355,0.984
3,500,beach,bikini,jeans,1,-0.028399474521698,0.972
3,500,beach,jeans,coat,1,-23.025850929940457,0.0
3,500,beach,shorts,jacket,1,-23.025850929940457,0.0
3,500,beach,coat,jacket,1,-0.1438703704197019,0.866
3,500,beach,shorts,jacket,0,0.0,0.0
3,500,beach,bikini,shorts,1,-0.016129381929883644,0.984
3,500,beach,jacket,jeans,0,-23.025850929940457,1.0
3,500,beach,bikini,shorts,1,-0.016129381929883644,0.984
3,500,beach,jacket,jeans,0,-23.025850929940457,1.0
3,500,beach,shorts,sunglasses,0,0.0,0.0
3,500,beach,jacket,sunglasses,0,-1.4784096500276964,0.772
3,500,beach,jeans,sunglasses,0,0.0,0.0
3,500,beach,coat,shorts,1,0.0,1.0
3,500,beach,jacket,shorts,0,-23.025850929940457,1.0
3,500,beach,bikini,sunglasses,0,-0.014098924379501648,0.014
3,500,beach,bikini,sunglasses,0,-0.014098924379501648,0.014
3,500,beach,sunglasses,bikini,1,-0.014098924379501648,0.986
3,500,beach,bikini,shorts,1,-0.016129381929883644,0.984
3,500,beach,sunglasses,coat,0,-0.03252319170556006,0.032
3,500,beach,shorts,jeans,1,-1.0788096613719298,0.34
3,500,beach,coat,jeans,1,0.0,1.0
3,500,beach,shorts,coat,1,-23.025850929940457,0.0
3,500,beach,shorts,jeans,1,-1.0788096613719298,0.34
3,500,beach,bikini,shorts,1,-0.016129381929883644,0.984
3,500,beach,jeans,coat,1,-23.025850929940457,0.0
3,500,beach,jeans,jacket,0,0.0,0.0
3,500,beach,jeans,coat,1,-23.025850929940457,0.0
3,500,beach,sunglasses,shorts,1,0.0,1.0
3,500,beach,bikini,sunglasses,0,-0.014098924379501648,0.014
3,500,beach,jeans,bikini,1,-3.575550768806933,0.028
3,500,beach,jeans,shorts,1,-0.4155154439616658,0.66
3,500,beach,bikini,sunglasses,0,-0.014098924379501648,0.014
3,500,beach,jacket,sunglasses,0,-1.4784096500276964,0.772
3,500,beach,jeans,shorts,1,-0.4155154439616658,0.66
3,500,beach,sunglasses,shorts,1,0.0,1.0
3,500,beach,coat,jacket,1,-0.1438703704197019,0.866
3,500,beach,sunglasses,coat,0,-0.03252319170556006,0.032
3,500,beach,jacket,jeans,1,0.0,1.0
3,500,beach,bikini,jacket,0,-0.0020020026706730793,0.002
3,500,beach,jacket,jeans,1,0.0,1.0
3,500,beach,bikini,shorts,1,-0.016129381929883644,0.984
3,500,beach,coat,shorts,1,0.0,1.0
3,500,beach,bikini,sunglasses,0,-0.014098924379501648,0.014
3,500,beach,sunglasses,jeans,1,0.0,1.0
3,500,beach,jacket,shorts,1,0.0,1.0
3,500,beach,jacket,bikini,1,-0.0020020026706730793,0.998
3,500,beach,shorts,bikini,1,-4.135166556742356,0.016
3,500,beach,jacket,shorts,0,-23.025850929940457,1.0
3,500,beach,bikini,sunglasses,0,-0.014098924379501648,0.014
3,500,beach,bikini,jeans,0,-3.575550768806932,0.972
3,500,beach,jacket,jeans,0,-23.025850929940457,1.0
3,500,beach,coat,bikini,1,0.0,1.0
3,500,beach,coat,bikini,1,0.0,1.0
3,500,beach,bikini,shorts,1,-0.016129381929883644,0.984
3,500,beach,shorts,jacket,0,0.0,0.0
