dataset_family,dataset,condition,analysis_dataset_id,analysis_label,analysis_unit_id,cv_group_id,human_rate,human_yes,human_total,human_count_status,context_count,trigger_logprob_sum,query_logprob_sum,x_but_not_y_applicable,x_but_not_y_logprob_sum,model_revision,cv_fold
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::reduce/eliminate,hu_2023_benchmark::rx22::reduce/eliminate,0.8,32.0,40.0,exact,1,-11.502735137939451,-11.686328887939451,True,-4.679915428161621,453ed1575b739b5b03ce3758b23befdb0967f40e,7
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::scared/petrified,hu_2023_benchmark::rx22::scared/petrified,0.025,1.0,40.0,exact,1,-8.888201713562012,-11.639711056370288,True,-6.377860996639356,453ed1575b739b5b03ce3758b23befdb0967f40e,8
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::serious/life-threatening,hu_2023_benchmark::rx22::serious/life-threatening,0.075,3.0,40.0,exact,1,-5.447173118591309,-6.530290246009827,True,-2.4083372950553894,453ed1575b739b5b03ce3758b23befdb0967f40e,9
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::similar/identical,hu_2023_benchmark::rx22::similar/identical,0.725,29.0,40.0,exact,1,-2.976595401763916,-4.351595401763916,True,-1.6426695585250854,453ed1575b739b5b03ce3758b23befdb0967f40e,0
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::slow/stop,hu_2023_benchmark::rx22::slow/stop,0.825,33.0,40.0,exact,1,-7.150313377380371,-5.587813377380371,True,-0.1517501324415207,453ed1575b739b5b03ce3758b23befdb0967f40e,1
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::small/tiny,hu_2023_benchmark::rx22::small/tiny,0.175,7.0,40.0,exact,1,-5.956043720245361,-8.831043243408203,True,-2.982268810272217,453ed1575b739b5b03ce3758b23befdb0967f40e,2
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::snug/tight,hu_2023_benchmark::rx22::snug/tight,0.1,4.0,40.0,exact,1,-9.75946807861328,-7.165718078613281,True,-1.705592155456543,453ed1575b739b5b03ce3758b23befdb0967f40e,3
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::start/finish,hu_2023_benchmark::rx22::start/finish,0.275,11.0,40.0,exact,1,-6.553467750549316,-5.115967750549316,True,-1.1132869720458984,453ed1575b739b5b03ce3758b23befdb0967f40e,4
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::survive/thrive,hu_2023_benchmark::rx22::survive/thrive,0.25,10.0,40.0,exact,1,-9.514934539794922,-12.272131204605104,True,-1.4423342943191528,453ed1575b739b5b03ce3758b23befdb0967f40e,5
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::tired/exhausted,hu_2023_benchmark::rx22::tired/exhausted,0.025,1.0,40.0,exact,1,-6.885149955749512,-9.166399955749512,True,-3.83854913711548,453ed1575b739b5b03ce3758b23befdb0967f40e,6
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::tolerate/encourage,hu_2023_benchmark::rx22::tolerate/encourage,0.65,26.0,40.0,exact,1,-13.574705123901367,-8.762205123901367,True,-1.6720726490020752,453ed1575b739b5b03ce3758b23befdb0967f40e,7
