context,trigger,word,cosine_similarity
bakery,sandwiches,chesterfield,0.6207477
bakery,sandwiches,detainees,0.620691
bakery,sandwiches,bewildered,0.6206482
bakery,sandwiches,presenters,0.6206285
bakery,sandwiches,reptiles,0.62050503
bakery,sandwiches,hallways,0.62007964
bakery,sandwiches,speeches,0.6199365
bakery,cakes,cakes,1.0000002
bakery,cakes,cake,0.7216166
bakery,cakes,biscuits,0.70339847
bakery,cakes,sandwiches,0.6754572
bakery,cakes,bakery,0.67471194
bakery,cakes,cookies,0.6616137
bakery,cakes,pastry,0.6585414
bakery,cakes,snacks,0.6560943
bakery,cakes,pancakes,0.65070844
bakery,cakes,dresses,0.64744765
bakery,cakes,sweets,0.6430241
bakery,cakes,baking,0.6389967
bakery,cakes,recounted,0.6378475
bakery,cakes,pudding,0.63514155
bakery,cakes,palaces,0.6348687
bakery,cakes,tormented,0.63445604
bakery,cakes,roasted,0.63445085
bakery,cakes,delightful,0.63276386
bakery,cakes,grimsby,0.63274956
bakery,cakes,recipes,0.6327191
bakery,cakes,barnsley,0.6316003
bakery,cakes,cadiz,0.63141453
bakery,cakes,brentford,0.63139737
bakery,cakes,terraces,0.6311462
bakery,cakes,facades,0.631116
bakery,cakes,vocalists,0.6302197
bakery,cakes,sausage,0.6291774
bakery,cakes,sweetly,0.6288494
bakery,cakes,packets,0.62853014
bakery,cakes,rotherham,0.6279006
bakery,cakes,kitchens,0.62760913
bakery,cakes,decorate,0.627326
bakery,cakes,dinners,0.62647426
bakery,cakes,facilitating,0.62598866
bakery,cakes,artefacts,0.62598133
bakery,cakes,mixes,0.6255777
bakery,cakes,dessert,0.62529856
bakery,cakes,markedly,0.6252497
bakery,cakes,harpsichord,0.62506187
bakery,cakes,harassed,0.62459207
bakery,cakes,outspoken,0.62455446
bakery,cakes,ornate,0.62433237
bakery,cakes,poorer,0.6241426
bakery,cakes,accelerate,0.6241368
bakery,cakes,seventeenth,0.62352663
bakery,cakes,plump,0.62272036
bakery,cakes,refurbishment,0.6225623
bakery,cakes,nutritional,0.62227255
bakery,cakes,supermarkets,0.6220507
bakery,cakes,coating,0.6220266
bakery,cakes,cottages,0.62178516
bakery,cakes,glistening,0.62164253
bakery,cakes,planners,0.6215865
bakery,cakes,textures,0.62158114
bakery,cakes,disks,0.62110865
bakery,cakes,textiles,0.62057006
bakery,cakes,frescoes,0.6197182
bakery,cakes,facilitates,0.61969125
bakery,cakes,chefs,0.6196148
bakery,cakes,adorned,0.6195375
bakery,cakes,culinary,0.61912566
bakery,cakes,slices,0.6184227
bakery,cakes,blogger,0.61819327
bakery,cakes,dorchester,0.6177261
bakery,cakes,impoverished,0.6176842
bakery,cakes,lobes,0.61722445
bakery,cakes,conical,0.61716866
bakery,cakes,shimmering,0.6170257
bakery,cakes,stockport,0.616994
bakery,cakes,radically,0.61676645
bakery,cakes,informally,0.6166165
bakery,cakes,petitions,0.61648107
bakery,cakes,flutes,0.6162949
bakery,cakes,speeches,0.6161569
bakery,cakes,extravagant,0.61610556
bakery,cakes,sparkled,0.6158108
bakery,cakes,decreases,0.61578155
bakery,cakes,garments,0.61572784
bakery,cakes,brightened,0.6155516
bakery,cakes,crises,0.6154138
bakery,cakes,commodities,0.6154078
bakery,cakes,fulham,0.6153947
bakery,cakes,wrexham,0.61536604
bakery,cakes,deities,0.61534345
bakery,cakes,carpets,0.6151389
bakery,cakes,sermons,0.6149757
bakery,cakes,bournemouth,0.61476326
bakery,cakes,gatherings,0.6143415
bakery,cakes,cylindrical,0.6143337
bakery,cakes,grasslands,0.61433
bakery,cakes,hertfordshire,0.61413026
bakery,cakes,improves,0.6141238
bakery,cakes,northamptonshire,0.6140792
bakery,cakes,exquisite,0.6140712
bakery,cakes,refurbished,0.6139238
bakery,cakes,ousted,0.6135621
bakery,cakes,rochdale,0.6134875
bakery,cakes,mischievous,0.6132865
bakery,cakes,barges,0.61322033
bakery,cakes,spearheaded,0.6131524
bakery,water,water,0.99999994
bakery,water,waters,0.5295574
bakery,water,river,0.4178039
bakery,water,groundwater,0.4131862
bakery,water,sand,0.41248798
bakery,water,marsh,0.4088323
bakery,water,sea,0.4021139
bakery,water,oil,0.4001482
bakery,water,ganga,0.39946583
bakery,water,air,0.3956687
bakery,water,watery,0.3953328
bakery,water,waterways,0.3919516
bakery,water,lake,0.391891
bakery,water,moisture,0.38753527
bakery,water,liquids,0.38749486
bakery,water,wood,0.3873824
bakery,water,fish,0.38610893
bakery,water,lagoon,0.38424274
bakery,water,land,0.383138
bakery,water,wine,0.37805504
bakery,water,freshwater,0.37516102
bakery,water,creeks,0.37375867
bakery,water,food,0.37222993
bakery,water,mead,0.3702909
bakery,water,saline,0.36949974
bakery,water,riverside,0.36891901
bakery,water,gas,0.3679058
bakery,water,ocean,0.36670518
bakery,water,waterway,0.36542308
bakery,water,ponds,0.36531413
bakery,water,fire,0.36469096
bakery,water,splash,0.36429176
bakery,water,weather,0.36341783
bakery,water,milk,0.3626296
bakery,water,watering,0.36044216
bakery,water,stream,0.36042178
bakery,water,dry,0.36033037
bakery,water,parma,0.3585655
bakery,water,energy,0.358011
bakery,water,sediment,0.35775226
bakery,water,aquatic,0.35709536
bakery,water,light,0.35684043
bakery,water,ice,0.3565029
bakery,water,grease,0.355622
bakery,water,foam,0.3552146
bakery,water,fluid,0.35488975
bakery,water,nighttime,0.35456106
bakery,water,beaufort,0.35444698
bakery,water,waterfalls,0.3539046
bakery,water,wet,0.35388637
bakery,water,liquid,0.3518679
bakery,water,underwater,0.35170993
bakery,water,hagen,0.35042107
bakery,water,green,0.34972054
bakery,water,pool,0.34953415
bakery,water,submerged,0.349383
bakery,water,wind,0.3493151
bakery,water,watered,0.34923625
bakery,water,aqua,0.34919184
bakery,water,spray,0.3489722
bakery,water,trident,0.3475992
bakery,water,electricity,0.34724426
bakery,water,mud,0.3471088
bakery,water,blood,0.34678367
bakery,water,glass,0.34636647
bakery,water,rocks,0.34591967
bakery,water,waterfront,0.3455068
bakery,water,floods,0.3454448
bakery,water,osman,0.34484643
bakery,water,seas,0.34478122
bakery,water,horst,0.34476215
bakery,water,swans,0.34473842
bakery,water,basil,0.3446893
bakery,water,foliage,0.3439544
bakery,water,pond,0.34371758
bakery,water,vine,0.3435116
bakery,water,fluids,0.34344602
bakery,water,ammonia,0.3429075
bakery,water,ems,0.34287602
bakery,water,alcohol,0.34264064
bakery,water,rice,0.34254223
bakery,water,wastewater,0.34221137
bakery,water,boat,0.3421119
bakery,water,rouen,0.34208226
bakery,water,marne,0.34175262
bakery,water,brook,0.34125072
bakery,water,flood,0.34122407
bakery,water,oceans,0.34096223
bakery,water,copper,0.34091818
bakery,water,grass,0.34062988
bakery,water,flooding,0.34060174
bakery,water,philips,0.34051767
bakery,water,hydro,0.34037626
bakery,water,turquoise,0.34037167
bakery,water,essen,0.34023482
bakery,water,salt,0.34008235
bakery,water,nile,0.3400808
bakery,water,rain,0.33986866
bakery,water,sb,0.33976927
bakery,water,fishes,0.33960322
