story,query,n_triggers,triggers,base_logprob_sum,base_logprob_mean,base_query_token_count,mean_but_not_logprob_sum,median_but_not_logprob_sum,sd_but_not_logprob_sum,min_but_not_logprob_sum,max_but_not_logprob_sum,mean_but_not_logprob_mean,median_but_not_logprob_mean,sd_but_not_logprob_mean,min_but_not_logprob_mean,max_but_not_logprob_mean,mean_delta_logprob_sum,mean_delta_logprob_mean
cold,microwave,5,"blankets,fridge,heater,sink,tea",-7.909492492675781,-7.909492492675781,1,-10.29839267730713,-10.175400733947754,1.0432872368345394,-11.763943672180176,-8.929384231567383,-10.29839267730713,-10.175400733947754,1.0432872368345394,-11.763943672180176,-8.929384231567383,-2.388900184631348,-2.388900184631348
cold,sink,5,"blankets,fridge,heater,microwave,tea",-9.284492492675781,-9.284492492675781,1,-13.76744270324707,-14.154568672180176,1.2051270361254416,-15.017887115478516,-11.938619613647461,-13.76744270324707,-14.154568672180176,1.2051270361254416,-15.017887115478516,-11.938619613647461,-4.482950210571289,-4.482950210571289
cold,tea,5,"blankets,fridge,heater,microwave,sink",-12.253242492675781,-12.253242492675781,1,-12.203364753723145,-12.382691383361816,1.6432083591756383,-14.092068672180176,-10.303043365478516,-12.203364753723145,-12.382691383361816,1.6432083591756383,-14.092068672180176,-10.303043365478516,0.049877738952636363,0.049877738952636363
cold,blankets,5,"fridge,heater,microwave,sink,tea",-11.878242492675781,-11.878242492675781,1,-8.76925802230835,-7.898134231567383,2.080717513693528,-12.175400733947754,-7.138943672180176,-8.76925802230835,-7.898134231567383,2.080717513693528,-12.175400733947754,-7.138943672180176,3.1089844703674316,3.1089844703674316
cut,keys,5,"batteries,nail clippers,scissors,stapler,thumb tacks",-7.639825820922852,-7.639825820922852,1,-11.102913856506348,-11.261059761047363,1.540595074083462,-13.057269096374512,-8.8677978515625,-11.102913856506348,-11.261059761047363,1.540595074083462,-13.057269096374512,-8.8677978515625,-3.463088035583496,-3.463088035583496
cut,nail clippers,5,"batteries,keys,scissors,stapler,thumb tacks",-5.51223501531058,-1.8374116717701934,3,-8.033485395176104,-8.235495866159908,1.082206049556332,-9.300196626980323,-6.305275219085161,-2.6778284650587008,-2.7451652887199693,0.36073534985211075,-3.1000655423267744,-2.10175840636172,-2.521250379865524,-0.8404167932885074
cut,scissors,5,"batteries,keys,nail clippers,stapler,thumb tacks",-1.2648259401321411,-1.2648259401321411,1,-2.9917322635650634,-2.7207770347595215,0.9197456958021706,-4.4927978515625,-2.0103940963745117,-2.9917322635650634,-2.7207770347595215,0.9197456958021706,-4.4927978515625,-2.0103940963745117,-1.7269063234329223,-1.7269063234329223
cut,stapler,5,"batteries,keys,nail clippers,scissors,thumb tacks",-6.21561667881906,-3.10780833940953,2,-8.694572815299034,-8.496003210544586,1.0150362088907676,-10.157602667808533,-7.635669767856598,-4.347286407649517,-4.248001605272293,0.5075181044453838,-5.078801333904266,-3.817834883928299,-2.478956136479974,-1.239478068239987
cut,thumb tacks,5,"batteries,keys,nail clippers,scissors,stapler",-13.42136477259919,-4.473788257533063,3,-12.97877818022389,-13.383873626531567,1.2827492831290062,-14.12297026970191,-11.29908790445188,-4.3262593934079625,-4.461291208843856,0.42758309437633535,-4.707656756567303,-3.7663626348172934,0.4425865923753012,0.1475288641251007
cut,batteries,5,"keys,nail clippers,scissors,stapler,thumb tacks",-10.296075820922852,-10.296075820922852,1,-11.323509788513183,-11.60753345489502,1.2651187950678628,-12.776684761047363,-9.31452751159668,-11.323509788513183,-11.60753345489502,1.2651187950678628,-12.776684761047363,-9.31452751159668,-1.0274339675903317,-1.0274339675903317
