context,word,frequency,cloze_probability
mall,chicken sandwiches,1,0.019230769230769232
mall,sub sandwiches,1,0.019230769230769232
mall,chick-fil-a,1,0.019230769230769232
mall,sabarro,1,0.019230769230769232
mall,corn dog 7,1,0.019230769230769232
mall,tomatoes,1,0.019230769230769232
mall,pretzil,1,0.019230769230769232
mall,beer,1,0.019230769230769232
mall,wine,1,0.019230769230769232
mall,pastcarbonara,1,0.019230769230769232
mall,lasagna,1,0.019230769230769232
mall,rissotto,1,0.019230769230769232
mall,burguers,1,0.019230769230769232
mall,orange julius,1,0.019230769230769232
mall,fast restaurant,1,0.019230769230769232
mall,salad bar,1,0.019230769230769232
mall,pretzel stand,1,0.019230769230769232
mall,vending machines,1,0.019230769230769232
mall,chipotle,1,0.019230769230769232
mall,sandwizz,1,0.019230769230769232
mall,rice,1,0.019230769230769232
mall,chic fla,1,0.019230769230769232
mall,ktp,1,0.019230769230769232
mall,vegetable grits,1,0.019230769230769232
mall,skillet banana,1,0.019230769230769232
mall,salad chicken,1,0.019230769230769232
mall,avocado sandwich,1,0.019230769230769232
mall,stuffed sweet potato,1,0.019230769230769232
mall,quinosalad,1,0.019230769230769232
mall,pulled pork,1,0.019230769230769232
mall,chik fil a,1,0.019230769230769232
mall,renzio's,1,0.019230769230769232
mall,restaurant,1,0.019230769230769232
mall,hot dog cart,1,0.019230769230769232
mall,soft pretzels,1,0.019230769230769232
mall,grinders,1,0.019230769230769232
mall,dunkin' donuts,1,0.019230769230769232
mall,au bon pain,1,0.019230769230769232
mall,domino's,1,0.019230769230769232
bakery,cake,40,0.7692307692307693
bakery,cookies,35,0.6730769230769231
bakery,donuts,24,0.46153846153846156
bakery,pie,23,0.4423076923076923
bakery,cupcakes,20,0.38461538461538464
bakery,brownies,14,0.2692307692307692
bakery,muffins,11,0.21153846153846154
bakery,ice cream,9,0.17307692307692307
bakery,cheesecake,8,0.15384615384615385
bakery,tarts,7,0.1346153846153846
bakery,pastries,6,0.11538461538461539
bakery,scones,5,0.09615384615384616
bakery,eclairs,5,0.09615384615384616
bakery,cakes,5,0.09615384615384616
bakery,pudding,4,0.07692307692307693
bakery,pies,4,0.07692307692307693
bakery,fruit,3,0.057692307692307696
bakery,cinnamon rolls,3,0.057692307692307696
bakery,fudge,2,0.038461538461538464
bakery,chocolate,2,0.038461538461538464
bakery,truffles,2,0.038461538461538464
bakery,candy,2,0.038461538461538464
bakery,notsure,2,0.038461538461538464
bakery,apple fritters,2,0.038461538461538464
bakery,turnovers,2,0.038461538461538464
bakery,danish,2,0.038461538461538464
bakery,bread,2,0.038461538461538464
bakery,pretzels,2,0.038461538461538464
bakery,crullers,2,0.038461538461538464
bakery,cream,1,0.019230769230769232
bakery,yogurt,1,0.019230769230769232
bakery,frozen yogurt,1,0.019230769230769232
bakery,macarons,1,0.019230769230769232
bakery,mousse,1,0.019230769230769232
bakery,danishes,1,0.019230769230769232
bakery,popsicles,1,0.019230769230769232
bakery,flan,1,0.019230769230769232
bakery,milkshakes,1,0.019230769230769232
bakery,cupcake,1,0.019230769230769232
bakery,cookie dough,1,0.019230769230769232
bakery,doughnut,1,0.019230769230769232
bakery,crepes,1,0.019230769230769232
bakery,macroons,1,0.019230769230769232
bakery,sweet bread,1,0.019230769230769232
